%kk,PairID,WaveType,T,D,A,hv,H1,x1,h1,H2,x2,h2,H3,x3,h3,H4,x4,h4,H5,x5,h5,H6,x6,h6,H7,x7,h7,H8,x8,h8,H9,x9,h9,Field,id,StudyID,nHfit,Cdval2,Difval2,R2val2,Bval2,slo,flatbed,ReMean, ReSd, KCMean, KCSd
56,NaN,1,12.716875,0.09,0.01,11.8,0.929198988,35,12.249,0.7133374,128,8.909635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,833,43,,3.354123154,1.90E-13,,0.4,38.33064071,0,2960.685019,0,440.5127372,0
57,NaN,1,12.3444075,0.09,0.01,11.8,0.750679384,35,12.071,1.032931881,128,8.7373125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,834,43,,-2.477690241,999,,0.4,38.39592043,0,4315.309859,0,623.2583376,0
58,NaN,1,12.40199999,0.09,0.01,11.8,0.86478112,35,12.292,0.73958361,128,8.9652675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,835,43,,2.260738411,7.20E-13,,0.4,38.47619248,0,3045.736367,0,441.946702,0
59,NaN,1,12.275,0.09,0.01,11.8,0.734278919,35,12.698,0.60417542,128,9.369955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,836,43,,3.293153327,1.51E-13,,0.4,38.46101841,0,2419.78699,0,347.5237581,0
60,NaN,1,11.84309006,0.09,0.01,11.8,0.605835112,35,12.28,0.637242235,128,8.946264601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,837,43,,0.052425166,6.21E-14,,0.4,38.39536876,0,2605.962578,0,361.0929992,0
61,NaN,1,13.14686635,0.09,0.01,11.8,0.87623247,35,11.334,0.853886913,128,8.008065656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,838,43,,0.821825709,4.71E-15,,1,38.48542598,0,3786.546554,0,582.4402912,0
62,NaN,1,12.51004782,0.09,0.01,11.8,0.826211819,35,11.144,0.649702757,128,7.829313416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,839,43,,3.156901231,9.32E-14,,0.4,38.61601897,0,2897.976828,0,424.1697958,0
63,NaN,1,11.8320458,0.09,0.01,11.8,0.715550917,35,11.903,0.775527909,128,8.595274234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,840,43,,-0.261499178,999,,0.4,38.69728298,0,3246.819516,0,449.4732515,0
64,NaN,1,12.46800336,0.09,0.01,11.8,0.824241294,35,12.404,0.788854655,128,9.096303807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,841,43,,1.058092526,2.78E-13,,0.4,38.69762896,0,3224.080497,0,470.3148038,0
65,NaN,1,11.73192177,0.09,0.01,11.8,0.879810403,35,12.142,0.835084829,128,8.837955501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,842,43,,1.040131899,3.35E-13,,0.4,38.74039833,0,3433.697197,0,471.3212427,0
66,NaN,1,11.46075891,0.09,0.01,11.8,0.738876556,35,12.066,0.843333645,128,8.7695025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,843,43,,-0.830457673,999,,0.4,38.82909057,0,3467.635799,0,464.9783331,0
67,NaN,1,9.968992644,0.09,0.01,11.8,1.012471462,35,12.572,0.684633706,128,9.270165992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,844,43,,4.547357102,2.45E-13,,0.4,38.76633401,0,2629.256255,0,306.6691243,0
68,NaN,1,11.53690591,0.09,0.01,11.8,0.758992626,35,12.58,0.720065495,128,9.27797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,845,43,,1.216832806,8.40E-14,,0.4,38.76403303,0,2865.827276,0,386.8345217,0
69,NaN,1,11.75496154,0.09,0.01,11.8,0.690087697,35,11.653,0.727195958,128,8.36093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,846,43,,0.063752698,8.95E-13,,0.4,38.88131176,0,3091.151152,0,425.135446,0
